PAPER,Data Base,YEAR,TECHNIQUE,N,Features,ALGORITHM,PERFORMANCE
An augmented aging process in brain white matter in HIV,"Healthy: CamCAN \ UiO, HIV: UCLA",2018,DTI MRI,765,"Parcellation: Selected ROIs from a non conventional parcellation, Global graph metrics from structural connectivity.",SVR,"Healthy: R=.84, R²=.7, MAE=7.39. HIV: R=0.64, R²=0.41, MAE=9.48."
Bayesian Optimization for Neuroimaging Pre-processing in Brain Age Classification and Prediction,CamCAN,2018,T1-MRI,648,T1 gray matter volume images were vectorized (ASCII-format intensity values) and used as features.,SVM\R,"Classification: Old(>55) vs Young(16-22). Acc = 88.1 Regression: R = 0.91, R²= 0.83, MAE = 5.46 years."
"Estimating brain age based on a uniform healthy population with
deep learning and structural magnetic resonance imaging",14 open datasets including CamCAN,2020,T1-MRI,10157,Full resolution 3D T1w MR images,3D deep convolutional neural network,"Full dataset: R=0.97,    MAE=4.06, CamCAN:MAE = 6.08, R=.929."
Interpretable brain age prediction using linear latent variable models of functional connectivity,"CamCAN, HCP, ATR ",2020,fMRI,Does not tell!!,"Parcellation: 264, 10 mm regions. Amplitude Correlation (Pearson’s) for functional connectivity. Linear latent variable model: PCA, Non neg. PCA, Modular Hirarchical analysis (MHA), Modular Connectivity Factoriza-
tion (MCF), ICA",Linear Regression, MAE 9.5
Functional brain age prediction suggests accelerated aging in preclinical familial Alzheimer’s disease,7 open datasets including CamCAN,2020,,1340,Parcellation: 272 regions corresponding to the Power and Petersen functional atlas. Amplitude Correlation (Pearson’s) for functional connectivity.+ Fisher’s Z-transformed. 26 Global graph features.,SVR,"Healthy: R=.72, R²=.53, MAE = 11.00                         AHD: R=.6, R²=.36, MAE= 11.58"
Generalization of diffusion magnetic resonance imaging–based brain age prediction model through transfer learning,"CamCAN, National Taiwan University
Hospital (NTUH), Hammersmith Hospital (HH), Guy’s Hospital (Guys)",2020,DTI MRI,1380,"Features of white matter tract integrity for machine learning, tract-based automatic analysis was performed to sample the diffusion indices from 76 predeﬁned major ﬁber tract bundles over the whole brain. Descripition at 10.1002/hbm.22854",6 layer Cascade NN ,"R = .94, MAE = 4.68"
Chapter on International Workshop on PRedictive Intelligence In Medicine: Improving Across Dataset Brain Age Predictions Using Transfer Learning,7 open datasets including CamCAN,2021,T1-MRI,2543,Trained on full resolution 3D T1w MR images,CNN + Transfer learning ,MAE = 3.70
Association vs. Prediction: The Impact of Cortical Surface Smoothing and Parcellation on Brain Age,CamCAN,2021,T1-MRI,608,"Parcellation: 100,200,400,1000 Shaefer. Cortical thickness + PCA",Linaer Regression,"R = .63, R²=.4, RMSE =8.5"
Learning patterns of the ageing brain in MRI using deep convolutional networks,UK Biobank,2021,T1-MRI,,Reshape to 128x128x20 3D T1w MR images,3D CNN  ,"R = .889, R²=.77, MAE= 3.9"
A reusable benchmark of brain-age prediction from M/EEG resting-state signals,"CamCAN(MEG), LEMON(EEG), CHBP(EEG), TUAB(EEG).",2022,MEG/ EEG,2540,"Parcellation: 448. Statistical properties of the psd, spectral features as CWT, information theory of the time series (entropy, fractality), Filterbank (computes covariances from several narrow-band signals) based on Riemannian geometry","Time series: ShallowFBCSPNet, Deep4Net. Features:Ridge Regression, RF","R=.86, R²=.74, MAE=7.3"
